protein,Nobs_epvs,model_epvs,beta_epvs,SE_epvs,P_epvs,beta_time_epvs,SE_time_epvs,P_time_epvs,beta_int_time_epvs,SE_int_time_epvs,P_int_time_epvs,P_epvs_fdr,P_time_epvs_fdr,P_time_epvs_int_fdr
OID30443,2776,lmer,-0.022320139294480516,0.030125538716133746,0.4589382085412096,-0.045289477434366565,0.015043776980629996,0.0026423957926248612,-0.00965393802230816,0.01596546676333163,0.5454680708664469,0.9192210937719016,0.0035107831372011224,0.7283705669906918
OID30444,2776,lmer,0.05572360462693736,0.02841951090487927,0.05020473283141059,0.03016759246813851,0.01397120258214546,0.03095381711164392,0.0253026437894407,0.014824254459186314,0.0880187090383852,0.9192210937719016,0.038484903197505395,0.2187898604156618
OID30445,2776,lmer,0.013015131282432948,0.0233922120312351,0.5780818004582622,0.2289895015199583,0.017384117419678234,5.546391813095671e-38,0.06286768448241965,0.018539091617419144,7.107322820674288e-4,0.9330387094088902,1.4711527467947955e-37,0.016306152030418145
OID30446,2776,lmer,-0.011087418815008857,0.024109452325647186,0.6457129777635043,0.05921483535823862,0.01714650730626023,5.65608815017441e-4,0.041591926365547705,0.018276592571832912,0.022978110234045505,0.958035484012181,7.783778560715537e-4,0.08261379608132227
OID30447,2776,lmer,-0.028573778567375308,0.024878485039482118,0.2510459507344041,0.05095114438117088,0.01565527545271409,0.0011555899111644037,-0.02805138912481557,0.016662762731234234,0.09245077795848888,0.9192210937719016,0.0015659663005718834,0.22615905271689102
OID30448,2776,lmer,-0.02542085212921625,0.03183513867966976,0.4247742965152108,-0.025292443113405467,0.01120481679160304,0.024104351906813384,-0.004956615031079556,0.011842465621793433,0.6755966945344658,0.9192210937719016,0.030200180293019938,0.8225548433779648
OID30449,2776,lmer,-0.0015794602206965253,0.02801993264715196,0.9550599006630023,-0.018720869448085566,0.015467167875223984,0.22629072872953054,-0.012783111116923275,0.01643561937460016,0.43680466091141,0.9942598717043266,0.25578027845182433,0.6364805702113916
OID30450,2776,lmer,-0.01738744782181088,0.02317055339723474,0.45320422674298233,0.0917589008396998,0.017083945513980476,8.800851516931241e-8,-0.003000550326985833,0.01821736869664215,0.8691917795655055,0.9192210937719016,1.3845473080726597e-7,0.9361265923618175
OID30451,2776,lmer,0.020904295190468946,0.023847116324846904,0.3809333858989261,0.0068394906557830626,0.01705360054529713,0.6884220204266366,0.046799338809307076,0.01817871188670194,0.010117822669524108,0.9192210937719016,0.7184068424516453,0.045780798239967446
OID30452,2776,lmer,0.027238552082447503,0.031749234002951585,0.3911522727128004,-0.015785084086878644,0.01324854415018367,0.23362296681433023,0.00919021492024715,0.01402924466802739,0.5125004411140732,0.9192210937719016,0.2636602054047441,0.7016575125884946
