protein,Nobs_mb_present,model_mb_present,beta_mb_present,SE_mb_present,P_mb_present,beta_time_mb_present,SE_time_mb_present,P_time_mb_present,beta_int_time_mb_present,SE_int_time_mb_present,P_int_time_mb_present,P_mb_present_fdr,P_time_mb_present_fdr,P_time_mb_present_int_fdr
OID30664,2935,lmer,NA,NA,NA,0.21317358054357174,0.02045634351663468,8.518826124882213e-25,NA,NA,NA,NA,2.1977518767017397e-24,NA
OID30665,2935,lmer,NA,NA,NA,0.07488954303954858,0.013121787034581679,1.3234736273741108e-8,NA,NA,NA,NA,2.2999485212928213e-8,NA
OID30666,2935,lmer,NA,NA,NA,0.15199690434993465,0.014664326017631608,1.4991656338776822e-24,NA,NA,NA,NA,3.8472881016896095e-24,NA
OID30667,2935,lmer,NA,NA,NA,0.006835903122572713,0.023133922756201214,0.7676497515646175,NA,NA,NA,NA,0.7979517154421681,NA
OID30668,2935,lmer,NA,NA,NA,0.2960930655763695,0.021945157948140035,9.3690913041143e-40,NA,NA,NA,NA,3.80359081693418e-39,NA
OID30669,2935,lmer,NA,NA,NA,0.3824369668208915,0.020644647659677426,7.416275172819382e-71,NA,NA,NA,NA,1.667520948473158e-69,NA
OID30670,2935,lm,NA,NA,NA,0.2550807321182713,0.022371254915592966,1.698807661283043e-29,NA,NA,NA,NA,4.89705600979323e-29,NA
OID30671,2935,lmer,NA,NA,NA,0.056176856610747686,0.0206974422483157,0.00670150966592818,NA,NA,NA,NA,0.009166360670803965,NA
OID30672,2935,lmer,NA,NA,NA,0.24724283946461337,0.016195901698973076,7.745457831216068e-50,NA,NA,NA,NA,4.911057102092097e-49,NA
OID30673,2935,lmer,NA,NA,NA,-0.045919810165154964,0.022778288433126397,0.043939439146161566,NA,NA,NA,NA,0.05531222249105524,NA
OID30674,2935,lmer,NA,NA,NA,0.3362881200289057,0.020351361863596415,1.406902618372069e-57,NA,NA,NA,NA,1.3940258825429011e-56,NA
